What is your primary means of transportation to and from the U. Washington?,"On average, how many minutes does it take you to get to the U. Washington from your home?","In an average week, how many days are you on the UW campus?",How often do you… [use the light rail or bus?],How often do you… [go to downtown Seattle?],How often do you… [use a mobile phone while walking?],How often do you… [travel on a road that requires a toll?],How often do you… [use a Lime Bike/Uber e-bike?],"On average, how many days in a week (out of 7 days) do you use Uber/Lyft or other ride hailing apps?",What is your primary reason for using an Uber/Lyft?,"In the past 7 days, how many rides did you hail using an Uber/Lyft app? ","In the past 7 days, how much did you spend on Uber/Lyft or other ride hailing apps (in US dollars)?",How often do you: [share an Uber/Lyft ride with someone you did not know],How often do you: [work or do homework in an Uber/Lyft],How often do you: [observe the Uber/Lyft driver talk on their cell phone while driving],How often do you: [observe the Uber/Lyft driver violating a traffic law],How often do you: [rate the Uber/Lyft driver],"On average, how many days in a week (out of 7 days) do you drive?",Please rate how often you do the following activities. [Speed up at a yellow traffic light],Please rate how often you do the following activities. [Honk at the vehicle in front],Please rate how often you do the following activities. [Drive 5 miles over the posted speed],Please rate how often you do the following activities. [Drive 10 miles over the posted speed],Please rate how often you do the following activities. [Check your phone while driving],Please rate how often you do the following activities. [Use your phone when stopped at an intersection],Please rate how often you do the following activities. [Interact with in-vehicle entertainment systems while driving],Please indicate how much you agree or disagree with the following statements. [My driving skills are better than the average person],Please indicate how much you agree or disagree with the following statements. [Bicyclists should not be riding in the same lanes as cars],Please indicate how much you agree or disagree with the following statements. [Driving next to large trucks is stressful],"In the past 5 years, how many times have you been involved in a car crash? ","In the past 5 years, how many times have you received a ticket for a moving violation? ",Please indicate how much you agree or disagree with the following statements. [I choose my mode of transport based on weather],Please indicate how much you agree or disagree with the following statements. [I am often frustrated with Seattle traffic],Please indicate how much you agree or disagree with the following statements. [Autonomous (driverless) cars will be safer than human operated cars],Please indicate how much you agree or disagree with the following statements. [Pedestrians should not look at their mobile phones while walking],Please indicate how much you agree or disagree with the following statements. [Bicyclists in Seattle are too aggressive],Please indicate how much you agree or disagree with the following statements. [Seattle public transportation is reliable],Please indicate how much you agree or disagree with the following statements. [I think the UW provides a quality education],How often... [does traffic impact the time you arrive at work/school],How often... [does the traffic impact the time you leave work/school],"How often... [do you properly sort waste into trash, recyclables and compost]",Are you:,Are you:,How old are you?,Do you rent or own your current living space?,What navigation app do you use most often?,Do you live with a significant other or other family members?,How many people live in your household?,How many children under 6 years old live in your household?,How many vehicles are in your household?  ,Do you have a US driver's license?,How old were you when you got your driver's license?,Are you a:,Do you plan to vote in the next presidential election? 
Walk,17,Every weekday (M-F),Sometimes,Sometimes,Often,Often,Sometimes,0,,,,,,,,,2,Often,Rarely,Often,Often,Sometimes,Sometimes,Rarely,Somewhat agree,Somewhat agree,Strongly agree,1,1,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Often,Often,Often,Student,Female,20,Rent,Apple Maps,No,,,,Yes,18,Permanent Resident (Green Card Holder),
Walk,15,Every weekday (M-F),Often,Sometimes,Often,Sometimes,Rarely,0,,,,,,,,,4,Often,Rarely,Sometimes,Rarely,Rarely,Often,Often,Somewhat agree,Strongly agree,Somewhat disagree,2,1,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Sometimes,Rarely,Sometimes,Student,Female,21,Rent,Google Maps,No,,,,Yes,19,Other non-US citizen status,
Bus,70,Every weekday (M-F),Always,Never,Sometimes,Never,Never,0,,,,,,,,,1,Rarely,Never,Often,Rarely,Never,Never,Sometimes,Somewhat agree,Strongly agree,Somewhat agree,1,0,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Always,Always,Always,Faculty/Staff,Male,43,Own,Google Maps,Yes,4,0,2,Yes,17,US Citizen,Yes
Bus,10,Every weekday (M-F),Always,Sometimes,Always,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Often,Student,Male,23,Rent,Google Maps,No,,,,Yes,23,Other non-US citizen status,
Bike,,1-2 days,Sometimes,Sometimes,Rarely,Often,Sometimes,3,Weather-related,,,Sometimes,Rarely,Sometimes,Often,Rarely,3,Rarely,,Sometimes,Never,Sometimes,Often,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,2,0,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Sometimes,Often,Student,Male,22,Rent,Waze,No,,,,Yes,,,No
Bus,20,Every weekday (M-F),Often,Sometimes,Sometimes,Rarely,Rarely,1,Convenience,0,0,Often,Never,Rarely,Rarely,Always,1,Often,Rarely,Often,Often,Sometimes,Sometimes,Often,Somewhat agree,Strongly disagree,Somewhat disagree,1,2,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Male,27,Rent,Google Maps,No,,,,Yes,19,US Citizen,Yes
Bus,45,Every weekday (M-F),Always,Sometimes,Sometimes,Often,Never,0,,,,,,,,,3,Sometimes,Never,Always,Often,Rarely,Rarely,Rarely,Somewhat disagree,Somewhat agree,Somewhat agree,0,0,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Sometimes,Often,Student,Male,25,Rent,Google Maps,Yes,2,0,1,Yes,23,Other non-US citizen status,
Bus,45,Every weekday (M-F),Always,Rarely,Sometimes,Never,Never,0,,,,,,,,,2,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Never,Somewhat agree,Neither agree nor disagree,Somewhat agree,0,1,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Often,Always,Student,Male,26,Rent,Google Maps,Yes,2,0,2,Yes,16,US Citizen,Yes
Bike,25,3-4 days,Often,Often,Often,Sometimes,Never,1,Do not want to drive when intoxicated,0,0,Often,Never,Never,Sometimes,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Sometimes,Sometimes,Often,Student,Male,27,Rent,Google Maps,No,,,,Yes,17,US Citizen,Yes
Bike,12,Every weekday (M-F),Rarely,Rarely,Often,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Never,Never,Often,Student,Male,24,Rent,Google Maps,No,,,,Yes,17,US Citizen,Yes
Walk,10,3-4 days,Rarely,Rarely,Often,Sometimes,Sometimes,1,Convenience,0,0,Sometimes,Never,Sometimes,Rarely,Often,2,Often,Rarely,Often,Often,Often,Often,Often,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,0,0,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Rarely,Sometimes,Student,Male,27,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Bus,15,"Every day, including weekends",Always,Sometimes,Rarely,Rarely,Never,1,I don't drive,0,0,Always,Never,Never,Never,Always,0,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Sometimes,Sometimes,Often,Student,Female,26,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
I drive part way and then walk about 25 minutes onto campus,40,Every weekday (M-F),Sometimes,Sometimes,Never,Sometimes,Never,0,,,,,,,,,7,Never,Never,Sometimes,Never,Never,Rarely,Never,Somewhat agree,Strongly agree,Strongly agree,0,,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Rarely,Rarely,Always,Faculty/Staff,Female,58,Own,Google Maps,Yes,2,0,2,Yes,16,US Citizen,Yes
Walk,15,Every weekday (M-F),Often,Sometimes,Sometimes,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Sometimes,Often,Student,Female,20,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus and light rail,90,Every weekday (M-F),Always,Always,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Always,Always,Often,Faculty/Staff,Female,43,Own,onebusaway,Yes,3,0,0,Yes,16,US Citizen,Yes
Drive,20,Every weekday (M-F),Rarely,Sometimes,Sometimes,Rarely,Never,2,Convenience,2,30,Never,Rarely,Rarely,Rarely,Sometimes,3,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Somewhat disagree,Strongly disagree,Somewhat agree,0,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Often,Student,Female,22,Rent,Google Maps,Prefer not to say,,,,Yes,19,Permanent Resident (Green Card Holder),
Bus,15,3-4 days,Always,Rarely,Often,Sometimes,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Often,Sometimes,Never,Student,Male,25,Rent,Google Maps,No,,,,Yes,24,Permanent Resident (Green Card Holder),
Bus,10,Every weekday (M-F),Sometimes,Often,Always,Rarely,Rarely,2,Convenience,2,20,Never,Never,Never,Sometimes,Sometimes,0,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Often,Student,Female,20,Rent,Apple Maps,Yes,2,0,0,Yes,18,US Citizen,Yes
Walk,15,"Every day, including weekends",Sometimes,Rarely,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Never,Never,Often,Student,Male,21,Rent,Apple Maps,No,,,,Yes,15.5,US Citizen,Yes
Bus,20,3-4 days,Sometimes,Sometimes,Often,Rarely,Rarely,1,Convenience,0,0,Sometimes,Rarely,Rarely,Never,Always,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Sometimes,Rarely,Always,Student,Other,20,Rent,Google Maps,No,,,,No,,US Citizen,Have not decided
Walk,15,Every weekday (M-F),Always,Often,Always,Rarely,Sometimes,1,Convenience,2,12,Often,Never,Never,Never,Sometimes,1,Sometimes,Never,Always,Sometimes,Rarely,Rarely,Always,Strongly agree,Somewhat disagree,Somewhat disagree,0,0,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Always,Always,Always,Student,Male,20,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,10,Every weekday (M-F),Often,Rarely,Sometimes,Never,Often,2,I don't drive,1,15,Sometimes,Never,Never,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Always,Always,Often,Student,Male,21,Rent,Google Maps,Yes,2,0,0,No,,Other non-US citizen status,
Walk,15,Every weekday (M-F),Rarely,Sometimes,Often,Rarely,Never,1,Do not want to drive when intoxicated,1,15,Rarely,Never,Never,Never,Always,3,Sometimes,Rarely,Sometimes,Rarely,Never,Never,Never,Somewhat agree,Strongly agree,Somewhat agree,0,1,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Never,Never,Often,Student,Female,20,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Bus,60,Every weekday (M-F),Sometimes,Rarely,Often,Always,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Always,Always,Always,Student,Female,30,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Bus,7,Every weekday (M-F),Often,Sometimes,Always,Rarely,Never,1,I don't drive,4,60,Rarely,Never,Rarely,Never,Always,0,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Always,Often,Always,Student,Female,21,Own,Google Maps,No,,,,Yes,19,Other non-US citizen status,
Bus,7,Every weekday (M-F),Often,Sometimes,Always,Rarely,Never,1,I don't drive,2,30,Sometimes,Never,Rarely,Never,Often,0,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Always,Always,Often,Student,Female,19,Rent,Google Maps,No,,,,Yes,17,US Citizen,Yes
Walk,20,Every weekday (M-F),Often,Rarely,Rarely,Rarely,Rarely,1,Convenience,0,0,Often,Never,Never,Never,Rarely,1,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Rarely,Somewhat agree,Neither agree nor disagree,Strongly agree,1,3 or more,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Rarely,Student,Male,21,Rent,Google Maps,Prefer not to say,,,,Yes,18,Other non-US citizen status,
,15,Every weekday (M-F),Sometimes,Sometimes,Always,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Always,Always,Rarely,Student,Female,26,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Drive,20,3-4 days,Never,Sometimes,Always,Rarely,Sometimes,1,Convenience,2,40,Never,Never,Never,Never,Always,7,Never,Never,Often,Often,Sometimes,Never,Never,Strongly agree,Strongly agree,Strongly agree,0,1,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Sometimes,Often,Always,Student,Male,24,Rent,Google Maps,No,,,,Yes,21,Other non-US citizen status,
Walk,5,Every weekday (M-F),Rarely,Rarely,Rarely,Never,Never,0,,,,,,,,,1,Rarely,Never,Sometimes,Never,Never,Sometimes,Sometimes,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,2,0,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Rarely,Rarely,Often,Student,Female,21,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,20,Every weekday (M-F),Rarely,Sometimes,Often,Sometimes,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Often,Student,Female,27,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,Every weekday (M-F),Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1,Convenience,0,0,Sometimes,Never,Sometimes,Rarely,Always,0,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Often,Always,Student,Male,24,Rent,Google Maps,No,,,,Yes,20,Other non-US citizen status,
Bus,20,Every weekday (M-F),Always,Rarely,Often,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Always,Student,Female,26,Rent,Google Maps,Yes,2,0,1,Yes,16,US Citizen,Yes
Walk,20,Every weekday (M-F),Sometimes,Often,Always,Sometimes,Never,1,I don't drive,0,0,Never,Never,Never,Never,Rarely,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Often,Student,Female,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,13,Every weekday (M-F),Always,Rarely,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Student,Female,19,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,10,Every weekday (M-F),Often,Rarely,Often,Sometimes,Rarely,1,Weather-related,0,0,Rarely,Rarely,Rarely,Rarely,Often,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Sometimes,Often,Student,Male,23,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Bike,10,Every weekday (M-F),Often,Rarely,Sometimes,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Rarely,Rarely,Always,Student,Male,28,Rent,Google Maps,Yes,4,0,2,Yes,15,US Citizen,Yes
Bus,50,Every weekday (M-F),Always,Rarely,Rarely,Always,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Always,Student,Female,29,Rent,Google Maps,Yes,2,0,0,No,,Permanent Resident (Green Card Holder),
Bike,12,Every weekday (M-F),Sometimes,Rarely,Rarely,Never,Never,1,Convenience,2,28.61,Sometimes,Rarely,Rarely,Sometimes,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Never,Always,Student,Male,28,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Bus,55,3-4 days,Rarely,Rarely,Often,Rarely,Never,0,,,,,,,,,6,Often,Never,Always,Often,Rarely,Rarely,Often,Somewhat disagree,Somewhat agree,Somewhat agree,0,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Always,Sometimes,Often,Student,Female,21,"Neither, I live with others who pay",Google Maps,Yes,4,0,3,Yes,19,US Citizen,Yes
Bus,18,Every weekday (M-F),Often,Rarely,Always,Never,Never,2,Convenience,2,20,Never,Never,Never,Never,Often,2,Sometimes,Never,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Somewhat agree,Somewhat agree,Somewhat agree,0,1,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Sometimes,Student,Male,29,Rent,Google Maps,No,,,,Yes,20,Other non-US citizen status,
Walk,15,Every weekday (M-F),Rarely,Rarely,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Rarely,,Always,Student,Female,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,23,Every weekday (M-F),Always,Often,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Often,Often,Sometimes,Student,Male,28,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bike,20,Every weekday (M-F),Always,Often,Always,Sometimes,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Never,Never,Always,Student,Female,22,Rent,Google Maps,No,,,,Yes,22,Other non-US citizen status,
Walk,10,"Every day, including weekends",Rarely,Rarely,Sometimes,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Never,Never,Often,Student,Male,23,Rent,Google Maps,No,,,,Yes,23,Other non-US citizen status,
Bus,30,Every weekday (M-F),Always,Never,Rarely,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Never,Never,Never,Student,Male,26,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,3-4 days,Often,Rarely,Sometimes,Rarely,Never,1,Convenience,1,14,Often,Never,Sometimes,Rarely,Sometimes,0,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Often,Student,Male,24,Rent,Google Maps,No,,,,Yes,23,Other non-US citizen status,
Walk,20,Every weekday (M-F),Sometimes,Rarely,Rarely,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Never,Never,Sometimes,Student,Male,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,30,1-2 days,Often,Sometimes,Sometimes,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Often,Student,Male,26,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,Every weekday (M-F),Sometimes,Rarely,Often,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Often,Often,Student,Female,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,5,"Every day, including weekends",Sometimes,Sometimes,Often,Never,Often,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Never,Never,Often,Student,Female,19,Rent,Apple Maps,No,,,,Yes,16,US Citizen,Yes
Bus,25,3-4 days,Sometimes,Sometimes,Often,Rarely,Never,1,Convenience,1,7,Sometimes,Never,Sometimes,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Female,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,5,3-4 days,Often,Sometimes,Sometimes,Never,Often,1,Save many time,0,0,Never,Never,Sometimes,Never,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Rarely,Sometimes,Often,Student,Male,20,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bike,30,Every weekday (M-F),Sometimes,Rarely,Sometimes,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Rarely,Rarely,Often,Faculty/Staff,Female,63,Own,Google Maps,Yes,4,0,2,Yes,29,US Citizen,Yes
Bus,25,3-4 days,Often,Sometimes,Sometimes,Sometimes,Rarely,0,,,,,,,,,3,Sometimes,Never,Always,Always,Rarely,Rarely,Sometimes,Somewhat agree,Somewhat agree,Somewhat agree,0,0,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Rarely,Never,Sometimes,Student,Male,24,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Bus,90,3-4 days,Always,Sometimes,Sometimes,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Often,Often,Always,Student,Female,21,"Neither, I live with others who pay",Google Maps,Yes,4,0,0,No,,Permanent Resident (Green Card Holder),
Walk,15,3-4 days,Sometimes,Rarely,Rarely,Rarely,Never,1,I don't drive,0,0,Sometimes,Never,Never,Never,Often,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Never,Never,Often,Student,Male,24,Rent,Google Maps,No,,,,Yes,23,Other non-US citizen status,
Walk,10,"Every day, including weekends",Often,Sometimes,Often,Often,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Rarely,Often,Often,Student,Male,27,Rent,MapQuest,No,,,,Yes,25,F-1,
Bus,15,"Every day, including weekends",Sometimes,Rarely,Sometimes,Never,Often,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Student,Male,20,Rent,Do not use navigation apps,No,,,,Yes,18,Other non-US citizen status,
Bus,40,Every weekday (M-F),Sometimes,Sometimes,Rarely,Rarely,Never,0,,,,,,,,,3,Rarely,Never,Sometimes,Rarely,Never,Never,Never,Strongly agree,Neither agree nor disagree,Somewhat agree,0,0,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Rarely,Rarely,Always,Faculty/Staff,Female,61,Own,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,20,3-4 days,Sometimes,Sometimes,Often,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Sometimes,Never,Student,Male,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,Every weekday (M-F),Sometimes,Rarely,Always,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Male,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,Every weekday (M-F),Always,Often,Always,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Always,Always,Always,Student,Male,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,30,Every weekday (M-F),Sometimes,Rarely,Often,Rarely,Never,3,Convenience,0,0,Sometimes,Rarely,Sometimes,Rarely,Often,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Sometimes,Sometimes,Sometimes,Student,Female,30,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
